epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,335.966,0.52752,0.36339,0.85088,0.9909,0.99309,0.995,0.85029,0.62695,0.38088,0.90541,0.000886694,0.000886694,0.000886694
117,339.035,0.50897,0.35648,0.82742,0.96214,0.91947,0.99088,0.87301,0.60118,0.45505,0.86624,0.000881979,0.000881979,0.000881979
118,342.124,0.49939,0.35066,0.83299,0.96558,0.96677,0.995,0.86794,0.59978,0.42937,0.84352,0.000877263,0.000877263,0.000877263
119,345.145,0.49649,0.35537,0.84929,0.95358,0.94678,0.97271,0.79342,0.64816,0.50406,0.88499,0.000872547,0.000872547,0.000872547
120,348.116,0.49567,0.34549,0.83382,0.97826,0.97373,0.99409,0.83923,0.61438,0.39252,0.90367,0.000867832,0.000867832,0.000867832
121,351.108,0.47511,0.3341,0.83498,0.86612,0.92011,0.94473,0.80801,0.61082,0.76161,0.93378,0.000863116,0.000863116,0.000863116
122,354.049,0.48723,0.34756,0.827,0.87593,0.86204,0.95256,0.80772,0.609,0.73305,0.94895,0.0008584,0.0008584,0.0008584
123,357.057,0.47862,0.3268,0.83362,0.92773,0.95238,0.98123,0.80163,0.62309,0.55511,0.93359,0.000853685,0.000853685,0.000853685
124,360.068,0.49868,0.3405,0.83292,0.94435,0.95833,0.99192,0.81987,0.61364,0.46581,0.91323,0.000848969,0.000848969,0.000848969
125,363.016,0.49111,0.33549,0.83278,0.90356,0.99747,0.98448,0.83085,0.61262,0.48223,0.90646,0.000844253,0.000844253,0.000844253
126,365.946,0.49438,0.33598,0.8342,0.96538,0.95536,0.9876,0.8077,0.60538,0.50007,0.90556,0.000839537,0.000839537,0.000839537
127,368.985,0.48984,0.3376,0.84422,0.97277,1,0.99409,0.83129,0.58478,0.42737,0.90712,0.000834822,0.000834822,0.000834822
128,372.052,0.49319,0.34347,0.83698,0.91359,0.90396,0.98625,0.81926,0.61415,0.61945,0.93072,0.000830106,0.000830106,0.000830106
129,375.013,0.48592,0.33827,0.82431,0.89711,0.94697,0.95328,0.81557,0.59691,0.59744,0.93606,0.00082539,0.00082539,0.00082539
130,377.987,0.45702,0.30629,0.82477,0.92324,0.95238,0.93506,0.80206,0.60967,0.55792,0.9208,0.000820675,0.000820675,0.000820675
131,380.98,0.46648,0.3263,0.82837,0.94842,0.95627,0.97673,0.8402,0.60679,0.49589,0.92346,0.000815959,0.000815959,0.000815959
132,383.971,0.48362,0.33796,0.8371,0.98181,0.97619,0.99409,0.83417,0.64637,0.39971,0.93971,0.000811243,0.000811243,0.000811243
133,386.981,0.49908,0.3487,0.85084,0.95464,1,0.99409,0.82646,0.60226,0.40189,0.93859,0.000806528,0.000806528,0.000806528
134,389.95,0.51553,0.3479,0.83603,0.97533,1,0.995,0.84227,0.61598,0.4383,0.92874,0.000801812,0.000801812,0.000801812
135,392.888,0.49704,0.3322,0.84332,0.97399,0.98689,0.99409,0.85261,0.60225,0.38371,0.9138,0.000797096,0.000797096,0.000797096
136,395.845,0.49997,0.33238,0.8504,0.98927,0.97767,0.995,0.82394,0.62927,0.39707,0.92588,0.00079238,0.00079238,0.00079238
137,398.902,0.49201,0.33526,0.83072,0.98928,0.97788,0.995,0.84151,0.60853,0.36376,0.92064,0.000787665,0.000787665,0.000787665
138,401.996,0.49497,0.33322,0.82472,0.98749,1,0.995,0.85737,0.6172,0.34289,0.9275,0.000782949,0.000782949,0.000782949
139,405.014,0.48351,0.32514,0.83974,0.91577,0.96154,0.98942,0.84752,0.61628,0.47319,0.92336,0.000778233,0.000778233,0.000778233
140,407.933,0.48546,0.3387,0.84724,0.95882,0.93452,0.97014,0.81764,0.64158,0.48748,0.92408,0.000773518,0.000773518,0.000773518
141,410.903,0.46127,0.32096,0.84115,0.97342,0.99986,0.99068,0.86113,0.58634,0.37499,0.91321,0.000768802,0.000768802,0.000768802
142,413.939,0.45336,0.32025,0.81684,0.96646,1,0.99409,0.84592,0.59131,0.36501,0.91449,0.000764086,0.000764086,0.000764086
143,417.047,0.45773,0.32517,0.82465,0.9887,0.97619,0.99409,0.85297,0.60245,0.36532,0.94033,0.000759371,0.000759371,0.000759371
144,420.037,0.48769,0.33261,0.85135,0.97958,0.97619,0.99326,0.85163,0.62596,0.36778,0.94971,0.000754655,0.000754655,0.000754655
145,422.952,0.45575,0.32768,0.8293,0.96008,0.99843,0.99409,0.8743,0.6059,0.35571,0.94141,0.000749939,0.000749939,0.000749939
146,425.924,0.44926,0.30926,0.82713,0.98803,1,0.995,0.85419,0.62803,0.38193,0.94459,0.000745223,0.000745223,0.000745223
147,428.983,0.45384,0.32136,0.82441,0.97188,1,0.99068,0.85516,0.63361,0.38544,0.98957,0.000740508,0.000740508,0.000740508
148,432.064,0.45931,0.32448,0.83094,0.96543,0.88078,0.96094,0.80212,0.64823,0.65225,0.95894,0.000735792,0.000735792,0.000735792
149,435.069,0.4648,0.32562,0.81818,0.95971,0.93987,0.9801,0.84782,0.55754,0.52853,0.91929,0.000731076,0.000731076,0.000731076
150,438.02,0.4596,0.33532,0.80755,0.92595,1,0.99192,0.84675,0.59442,0.39813,0.92424,0.000726361,0.000726361,0.000726361
151,440.974,0.45845,0.32382,0.83008,0.95697,1,0.995,0.85421,0.58241,0.4146,0.91408,0.000721645,0.000721645,0.000721645
152,443.951,0.4612,0.31602,0.81666,0.92508,0.98739,0.995,0.85794,0.60527,0.41563,0.91392,0.000716929,0.000716929,0.000716929
153,446.972,0.47117,0.32817,0.82878,0.95649,1,0.995,0.86185,0.58707,0.37607,0.90915,0.000712214,0.000712214,0.000712214
154,449.969,0.45738,0.32229,0.82995,0.97976,1,0.995,0.85125,0.62468,0.37526,0.94374,0.000707498,0.000707498,0.000707498
155,452.932,0.47371,0.31714,0.83571,0.95948,1,0.995,0.83502,0.62938,0.37713,0.93442,0.000702782,0.000702782,0.000702782
156,455.847,0.45891,0.31801,0.82813,0.95423,1,0.99409,0.86918,0.61051,0.40184,0.92563,0.000698066,0.000698066,0.000698066
157,458.975,0.44294,0.31613,0.83577,0.91932,0.96684,0.98817,0.83208,0.64299,0.46343,0.93979,0.000693351,0.000693351,0.000693351
158,462.079,0.4478,0.31514,0.82002,0.99626,0.99501,0.995,0.84701,0.5963,0.39439,0.91951,0.000688635,0.000688635,0.000688635
159,465.121,0.43985,0.30065,0.82718,0.96912,1,0.99409,0.83819,0.61794,0.39635,0.92719,0.000683919,0.000683919,0.000683919
160,468.075,0.45389,0.31582,0.82436,0.99647,0.99546,0.995,0.84881,0.56819,0.38828,0.90532,0.000679204,0.000679204,0.000679204
161,471.057,0.43812,0.30037,0.83231,0.92964,0.95238,0.98282,0.81515,0.59688,0.47147,0.92964,0.000674488,0.000674488,0.000674488
162,474.029,0.45139,0.31595,0.83034,0.86502,0.9733,0.95442,0.80064,0.60285,0.55039,0.96167,0.000669772,0.000669772,0.000669772
163,477.03,0.44022,0.30909,0.81418,0.94084,0.95833,0.96764,0.81803,0.60799,0.52538,0.93838,0.000665057,0.000665057,0.000665057
164,480.035,0.44832,0.30611,0.8295,0.94714,0.95833,0.99192,0.85123,0.57099,0.52436,0.8979,0.000660341,0.000660341,0.000660341
165,482.975,0.43581,0.31538,0.83536,0.9699,0.97619,0.99409,0.85709,0.63301,0.41387,0.97146,0.000655625,0.000655625,0.000655625
166,485.922,0.44523,0.3068,0.82499,0.96126,0.97776,0.99295,0.8582,0.59405,0.39371,0.9402,0.000650909,0.000650909,0.000650909
167,488.997,0.43899,0.3173,0.82853,0.97517,0.97619,0.99409,0.87627,0.60729,0.37326,0.92469,0.000646194,0.000646194,0.000646194
168,492.062,0.43158,0.30035,0.82591,0.99276,0.99539,0.995,0.86469,0.59627,0.36358,0.94926,0.000641478,0.000641478,0.000641478
169,495.016,0.41834,0.30256,0.8206,0.95681,0.97772,0.98977,0.85935,0.58888,0.38392,0.92513,0.000636762,0.000636762,0.000636762
